county	date	fips	new.cases
APACHE	2020-03-21	4001	3
APACHE	2020-03-22	4001	0
APACHE	2020-03-23	4001	1
APACHE	2020-03-24	4001	0
APACHE	2020-03-25	4001	3
APACHE	2020-03-26	4001	2
APACHE	2020-03-27	4001	2
APACHE	2020-03-28	4001	2
APACHE	2020-03-29	4001	0
APACHE	2020-03-30	4001	4
APACHE	2020-03-31	4001	-1
APACHE	2020-04-01	4001	1
APACHE	2020-04-02	4001	2
APACHE	2020-04-03	4001	-2
APACHE	2020-04-04	4001	3
APACHE	2020-04-05	4001	3
APACHE	2020-04-06	4001	2
APACHE	2020-04-07	4001	3
APACHE	2020-04-08	4001	6
APACHE	2020-04-09	4001	18
APACHE	2020-04-10	4001	3
APACHE	2020-04-11	4001	11
APACHE	2020-04-12	4001	6
APACHE	2020-04-13	4001	17
APACHE	2020-04-14	4001	8
APACHE	2020-04-15	4001	13
APACHE	2020-04-16	4001	8
APACHE	2020-04-17	4001	23
APACHE	2020-04-18	4001	28
APACHE	2020-04-19	4001	9
APACHE	2020-04-20	4001	24
APACHE	2020-04-21	4001	24
APACHE	2020-04-22	4001	9
APACHE	2020-04-23	4001	33
APACHE	2020-04-24	4001	28
APACHE	2020-04-25	4001	18
APACHE	2020-04-26	4001	22
APACHE	2020-04-27	4001	26
APACHE	2020-04-28	4001	18
APACHE	2020-04-29	4001	12
APACHE	2020-04-30	4001	57
APACHE	2020-05-01	4001	29
APACHE	2020-05-02	4001	29
APACHE	2020-05-03	4001	19
APACHE	2020-05-04	4001	23
APACHE	2020-05-05	4001	27
APACHE	2020-05-06	4001	36
APACHE	2020-05-07	4001	18
APACHE	2020-05-08	4001	41
APACHE	2020-05-09	4001	39
APACHE	2020-05-10	4001	6
APACHE	2020-05-11	4001	11
APACHE	2020-05-12	4001	17
APACHE	2020-05-13	4001	73
APACHE	2020-05-14	4001	42
APACHE	2020-05-15	4001	68
APACHE	2020-05-16	4001	35
APACHE	2020-05-17	4001	19
APACHE	2020-05-18	4001	7
APACHE	2020-05-19	4001	35
APACHE	2020-05-20	4001	57
APACHE	2020-05-21	4001	41
APACHE	2020-05-22	4001	18
APACHE	2020-05-23	4001	5
APACHE	2020-05-24	4001	47
APACHE	2020-05-25	4001	0
APACHE	2020-05-26	4001	23
APACHE	2020-05-27	4001	36
APACHE	2020-05-28	4001	40
APACHE	2020-05-29	4001	124
APACHE	2020-05-30	4001	77
APACHE	2020-05-31	4001	33
APACHE	2020-06-01	4001	2
APACHE	2020-06-02	4001	43
APACHE	2020-06-03	4001	17
APACHE	2020-06-04	4001	51
APACHE	2020-06-05	4001	19
APACHE	2020-06-06	4001	36
APACHE	2020-06-07	4001	35
APACHE	2020-06-08	4001	5
APACHE	2020-06-09	4001	15
APACHE	2020-06-10	4001	64
APACHE	2020-06-11	4001	78
APACHE	2020-06-12	4001	38
APACHE	2020-06-13	4001	40
APACHE	2020-06-14	4001	5
APACHE	2020-06-15	4001	3
APACHE	2020-06-16	4001	21
APACHE	2020-06-17	4001	2
APACHE	2020-06-18	4001	61
APACHE	2020-06-19	4001	44
APACHE	2020-06-20	4001	13
APACHE	2020-06-21	4001	1
APACHE	2020-06-22	4001	4
APACHE	2020-06-23	4001	44
APACHE	2020-06-24	4001	29
APACHE	2020-06-25	4001	41
APACHE	2020-06-26	4001	15
APACHE	2020-06-27	4001	0
APACHE	2020-06-28	4001	53
APACHE	2020-06-29	4001	6
APACHE	2020-06-30	4001	28
APACHE	2020-07-01	4001	44
APACHE	2020-07-02	4001	24
APACHE	2020-07-03	4001	13
APACHE	2020-07-04	4001	5
APACHE	2020-07-05	4001	16
APACHE	2020-07-06	4001	2
APACHE	2020-07-07	4001	30
APACHE	2020-07-08	4001	28
APACHE	2020-07-09	4001	21
APACHE	2020-07-10	4001	14
APACHE	2020-07-11	4001	17
APACHE	2020-07-12	4001	28
APACHE	2020-07-13	4001	1
APACHE	2020-07-14	4001	31
APACHE	2020-07-15	4001	33
APACHE	2020-07-16	4001	14
APACHE	2020-07-17	4001	33
APACHE	2020-07-18	4001	44
APACHE	2020-07-19	4001	6
APACHE	2020-07-20	4001	-1
APACHE	2020-07-21	4001	39
APACHE	2020-07-22	4001	18
APACHE	2020-07-23	4001	44
APACHE	2020-07-24	4001	29
APACHE	2020-07-25	4001	38
APACHE	2020-07-26	4001	12
APACHE	2020-07-27	4001	10
APACHE	2020-07-28	4001	15
APACHE	2020-07-29	4001	5
COCHISE	2020-03-21	4003	1
COCHISE	2020-03-22	4003	0
COCHISE	2020-03-23	4003	0
COCHISE	2020-03-24	4003	0
COCHISE	2020-03-25	4003	0
COCHISE	2020-03-26	4003	1
COCHISE	2020-03-27	4003	0
COCHISE	2020-03-28	4003	1
COCHISE	2020-03-29	4003	0
COCHISE	2020-03-30	4003	1
COCHISE	2020-03-31	4003	0
COCHISE	2020-04-01	4003	0
COCHISE	2020-04-02	4003	0
COCHISE	2020-04-03	4003	1
COCHISE	2020-04-04	4003	2
COCHISE	2020-04-05	4003	1
COCHISE	2020-04-06	4003	1
COCHISE	2020-04-07	4003	0
COCHISE	2020-04-08	4003	0
COCHISE	2020-04-09	4003	2
COCHISE	2020-04-10	4003	0
COCHISE	2020-04-11	4003	2
COCHISE	2020-04-12	4003	2
COCHISE	2020-04-13	4003	1
COCHISE	2020-04-14	4003	-1
COCHISE	2020-04-15	4003	0
COCHISE	2020-04-16	4003	3
COCHISE	2020-04-17	4003	2
COCHISE	2020-04-18	4003	2
COCHISE	2020-04-19	4003	2
COCHISE	2020-04-20	4003	4
COCHISE	2020-04-21	4003	1
COCHISE	2020-04-22	4003	2
COCHISE	2020-04-23	4003	0
COCHISE	2020-04-24	4003	3
COCHISE	2020-04-25	4003	2
COCHISE	2020-04-26	4003	0
COCHISE	2020-04-27	4003	0
COCHISE	2020-04-28	4003	1
COCHISE	2020-04-29	4003	1
COCHISE	2020-04-30	4003	1
COCHISE	2020-05-01	4003	0
COCHISE	2020-05-02	4003	0
COCHISE	2020-05-03	4003	0
COCHISE	2020-05-04	4003	0
COCHISE	2020-05-05	4003	0
COCHISE	2020-05-06	4003	1
COCHISE	2020-05-07	4003	0
COCHISE	2020-05-08	4003	1
COCHISE	2020-05-09	4003	0
COCHISE	2020-05-10	4003	0
COCHISE	2020-05-11	4003	1
COCHISE	2020-05-12	4003	1
COCHISE	2020-05-13	4003	0
COCHISE	2020-05-14	4003	1
COCHISE	2020-05-15	4003	1
COCHISE	2020-05-16	4003	1
COCHISE	2020-05-17	4003	0
COCHISE	2020-05-18	4003	0
COCHISE	2020-05-19	4003	0
COCHISE	2020-05-20	4003	0
COCHISE	2020-05-21	4003	5
COCHISE	2020-05-22	4003	5
COCHISE	2020-05-23	4003	2
COCHISE	2020-05-24	4003	1
COCHISE	2020-05-25	4003	0
COCHISE	2020-05-26	4003	5
COCHISE	2020-05-27	4003	-1
COCHISE	2020-05-28	4003	4
COCHISE	2020-05-29	4003	0
COCHISE	2020-05-30	4003	5
COCHISE	2020-05-31	4003	2
COCHISE	2020-06-01	4003	2
COCHISE	2020-06-02	4003	13
COCHISE	2020-06-03	4003	5
COCHISE	2020-06-04	4003	11
COCHISE	2020-06-05	4003	15
COCHISE	2020-06-06	4003	2
COCHISE	2020-06-07	4003	19
COCHISE	2020-06-08	4003	8
COCHISE	2020-06-09	4003	7
COCHISE	2020-06-10	4003	11
COCHISE	2020-06-11	4003	4
COCHISE	2020-06-12	4003	7
COCHISE	2020-06-13	4003	28
COCHISE	2020-06-14	4003	10
COCHISE	2020-06-15	4003	5
COCHISE	2020-06-16	4003	20
COCHISE	2020-06-17	4003	7
COCHISE	2020-06-18	4003	19
COCHISE	2020-06-19	4003	65
COCHISE	2020-06-20	4003	30
COCHISE	2020-06-21	4003	1
COCHISE	2020-06-22	4003	9
COCHISE	2020-06-23	4003	60
COCHISE	2020-06-24	4003	9
COCHISE	2020-06-25	4003	27
COCHISE	2020-06-26	4003	41
COCHISE	2020-06-27	4003	29
COCHISE	2020-06-28	4003	35
