state	date	fips	new.cases	abbr
MISSISSIPPI	2020-07-29	28	1505	MS
FLORIDA	2020-07-29	12	9446	FL
LOUISIANA	2020-07-29	22	1737	LA
SOUTH CAROLINA	2020-07-29	45	1737	SC
GEORGIA	2020-07-29	13	3509	GA
CALIFORNIA	2020-07-29	6	12904	CA
ARIZONA	2020-07-29	4	2367	AZ
TEXAS	2020-07-29	48	9073	TX
NEVADA	2020-07-29	32	946	NV
ALABAMA	2020-07-29	1	1416	AL
IDAHO	2020-07-29	16	492	ID
TENNESSEE	2020-07-29	47	1827	TN
ARKANSAS	2020-07-29	5	787	AR
MISSOURI	2020-07-29	29	1458	MO
KANSAS	2020-07-29	20	683	KS
IOWA	2020-07-29	19	695	IA
OKLAHOMA	2020-07-29	40	848	OK
MONTANA	2020-07-29	30	204	MT
WISCONSIN	2020-07-29	55	1005	WI
SOUTH DAKOTA	2020-07-29	46	149	SD
NEW MEXICO	2020-07-29	35	345	NM
NORTH CAROLINA	2020-07-29	37	1724	NC
NEBRASKA	2020-07-29	31	308	NE
UTAH	2020-07-29	49	462	UT
KENTUCKY	2020-07-29	21	603	KY
CONNECTICUT	2020-07-29	9	463	CN
DELAWARE	2020-07-29	10	126	DE
ALASKA	2020-07-29	2	92	AK
MARYLAND	2020-07-29	24	755	MD
OHIO	2020-07-29	39	1396	OH
MINNESOTA	2020-07-29	27	666	MN
VIRGINIA	2020-07-29	51	999	VA
NORTH DAKOTA	2020-07-29	38	86	ND
ILLINOIS	2020-07-29	17	1379	IL
MICHIGAN	2020-07-29	26	1001	MI
INDIANA	2020-07-29	18	660	IN
WASHINGTON	2020-07-29	53	724	WA
OREGON	2020-07-29	41	386	OR
WEST VIRGINIA	2020-07-29	54	153	WV
COLORADO	2020-07-29	8	465	CO
DISTRICT OF COLUMBIA	2020-07-29	11	54	DC
HAWAII	2020-07-29	15	108	HI
MASSACHUSETTS	2020-07-29	25	502	MA
RHODE ISLAND	2020-07-29	44	75	RI
WYOMING	2020-07-29	56	39	WY
PENNSYLVANIA	2020-07-29	42	855	PA
NEW YORK	2020-07-29	36	711	NY
NEW JERSEY	2020-07-29	34	260	NJ
MAINE	2020-07-29	23	28	ME
NEW HAMPSHIRE	2020-07-29	33	13	NH
VERMONT	2020-07-29	50	1	VT
MISSISSIPPI	2020-07-28	28	1342	MS
FLORIDA	2020-07-28	12	9230	FL
GEORGIA	2020-07-28	13	4131	GA
NEVADA	2020-07-28	32	1111	NV
TEXAS	2020-07-28	48	10449	TX
TENNESSEE	2020-07-28	47	2449	TN
SOUTH CAROLINA	2020-07-28	45	1692	SC
OKLAHOMA	2020-07-28	40	1228	OK
ARIZONA	2020-07-28	4	2076	AZ
IDAHO	2020-07-28	16	482	ID
ALABAMA	2020-07-28	1	1251	AL
ARKANSAS	2020-07-28	5	734	AR
LOUISIANA	2020-07-28	22	1121	LA
MISSOURI	2020-07-28	29	1412	MO
NORTH DAKOTA	2020-07-28	38	155	ND
CALIFORNIA	2020-07-28	6	7848	CA
RHODE ISLAND	2020-07-28	44	210	RI
ALASKA	2020-07-28	2	144	AK
NEBRASKA	2020-07-28	31	340	NE
NORTH CAROLINA	2020-07-28	37	1687	NC
KENTUCKY	2020-07-28	21	626	KY
NEW MEXICO	2020-07-28	35	289	NM
UTAH	2020-07-28	49	438	UT
WISCONSIN	2020-07-28	55	791	WI
WASHINGTON	2020-07-28	53	1028	WA
INDIANA	2020-07-28	18	841	IN
DISTRICT OF COLUMBIA	2020-07-28	11	87	DC
COLORADO	2020-07-28	8	697	CO
WYOMING	2020-07-28	56	69	WY
OHIO	2020-07-28	39	1320	OH
MARYLAND	2020-07-28	24	655	MD
VIRGINIA	2020-07-28	51	922	VA
ILLINOIS	2020-07-28	17	1146	IL
PENNSYLVANIA	2020-07-28	42	1134	PA
MINNESOTA	2020-07-28	27	478	MN
MONTANA	2020-07-28	30	85	MT
IOWA	2020-07-28	19	232	IA
DELAWARE	2020-07-28	10	70	DE
OREGON	2020-07-28	41	297	OR
MICHIGAN	2020-07-28	26	696	MI
WEST VIRGINIA	2020-07-28	54	119	WV
NEW JERSEY	2020-07-28	34	483	NJ
SOUTH DAKOTA	2020-07-28	46	48	SD
NEW HAMPSHIRE	2020-07-28	33	59	NH
MASSACHUSETTS	2020-07-28	25	256	MA
HAWAII	2020-07-28	15	46	HI
NEW YORK	2020-07-28	36	535	NY
CONNECTICUT	2020-07-28	9	94	CN
KANSAS	2020-07-28	20	55	KS
VERMONT	2020-07-28	50	3	VT
MAINE	2020-07-28	23	6	ME
LOUISIANA	2020-07-27	22	2343	LA
FLORIDA	2020-07-27	12	8892	FL
TENNESSEE	2020-07-27	47	2539	TN
ALABAMA	2020-07-27	1	1821	AL
IDAHO	2020-07-27	16	574	ID
OKLAHOMA	2020-07-27	40	1244	OK
NEVADA	2020-07-27	32	961	NV
RHODE ISLAND	2020-07-27	44	291	RI
ARKANSAS	2020-07-27	5	824	AR
KANSAS	2020-07-27	20	790	KS
ARIZONA	2020-07-27	4	1877	AZ
SOUTH CAROLINA	2020-07-27	45	1218	SC
GEORGIA	2020-07-27	13	2431	GA
TEXAS	2020-07-27	48	6557	TX
MISSISSIPPI	2020-07-27	28	653	MS
MISSOURI	2020-07-27	29	1336	MO
NEW MEXICO	2020-07-27	35	449	NM
CALIFORNIA	2020-07-27	6	7765	CA
MARYLAND	2020-07-27	24	1130	MD
VIRGINIA	2020-07-27	51	1505	VA
NORTH CAROLINA	2020-07-27	37	1808	NC
WASHINGTON	2020-07-27	53	1126	WA
UTAH	2020-07-27	49	466	UT
NEBRASKA	2020-07-27	31	281	NE
NORTH DAKOTA	2020-07-27	38	110	ND
